era,Title,Album,swear_total,total_words,swears_per_1000
ENC,Evil Deeds,Encore (Deluxe Version),4,876,4.566210046
ESH,Hailie’s Song,The Eminem Show,3,661,4.538577912
ENC,Just Lose It,Encore (Deluxe Version),3,669,4.484304933
Infinite,It’s O.K.,Infinite,2,447,4.474272931
REC,W.T.P.,Recovery,4,902,4.4345898
ENC,It Has Been Said,Duets: The Final Chapter,1,232,4.310344828
MMLP2,Beautiful Pain,The Marshall Mathers LP 2,2,464,4.310344828
ESH,Go to Sleep,Eminem Vs. DJ Whoo Kid: Shady Classics,1,243,4.115226337
ENC,GATman And Robbin,The Massacre,1,243,4.115226337
REL,Careful What You Wish For,Relapse: Refill,3,746,4.021447721
REL,Music Box,Relapse: Refill,3,800,3.75
MMLP,Devil’s Night,Devil’s Night,1,282,3.546099291
REL,Hell Breaks Loose,Relapse: Refill,1,292,3.424657534
MMLP2,The Monster,The Marshall Mathers LP 2,1,304,3.289473684
MTBMB,Lock It Up,Music to Be Murdered By: Side B,1,316,3.164556962
ESH,Business,The Eminem Show,1,317,3.154574132
MTBMB,Is This Love (’09),Curtain Call 2,1,334,2.994011976
REL,Buffalo Bill,Relapse: Refill,2,692,2.89017341
ENC,Rain Man,Encore (Deluxe Version),1,360,2.777777778
REL,Hello,Relapse: Refill,2,747,2.677376171
SSLP,My Fault,The Slim Shady LP,2,776,2.577319588
MMLP,What If I Was White,Black Trash: The Autobiography of Kirk Jones,1,397,2.518891688
Infinite,Backstabber,Infinite,1,398,2.512562814
REL,3 a.m.,Relapse: Refill,2,823,2.430133657
MTBMB,I Will,Music to Be Murdered By: Side B,2,848,2.358490566
Infinite,Jealousy Woes II,Infinite,1,433,2.309468822
ENC,How Come,D12 World,1,481,2.079002079
MTBMB,In Too Deep,Music to Be Murdered By: Side B,1,540,1.851851852
Infinite,Tonite,Infinite,1,678,1.474926254
ENC,Mockingbird,Encore (Deluxe Version),1,905,1.104972376
Infinite,Maxine,Infinite,0,137,0
Infinite,Searchin,Infinite,0,240,0
SSLP,Bad Meets Evil,The Slim Shady LP,0,174,0
